first_active_month,card_id,feature_1,feature_2,feature_3,target,source,first_active_year_unit,first_active_month_unit,first_active_month_label_code,first_active_year_unit_label_code,first_active_month_unit_label_code
2017-06,C_ID_92a2005557,4,2,1,-0.8202826,train,2017,06,67,6,5
2017-01,C_ID_3d0044924f,3,1,0,0.39291325,train,2017,01,62,6,0
2016-08,C_ID_d639edf6cd,1,2,0,0.68805599,train,2016,08,57,5,7
2017-09,C_ID_186d6a6901,3,3,0,0.1424952,train,2017,09,70,6,8
2017-11,C_ID_cdbd2c0db2,0,3,0,-0.15974919,train,2017,11,72,6,10
2016-09,C_ID_0894217f2f,3,2,0,0.87158529,train,2016,09,58,5,8
2016-12,C_ID_7e63323c00,2,2,1,0.23012899,train,2016,12,61,5,11
2017-09,C_ID_dfa21fc124,2,2,1,2.13584976,train,2017,09,70,6,8
2017-08,C_ID_fe0fdac8ea,1,1,0,-0.06540639,train,2017,08,69,6,7
2016-08,C_ID_bf62c0b49d,1,2,0,0.30006168,train,2016,08,57,5,7
2016-10,C_ID_92853cdb2c,4,2,1,-1.02956173,train,2016,10,59,5,9
2016-03,C_ID_269d816788,1,2,0,-2.43376068,train,2016,03,52,5,2
2017-09,C_ID_61d50d7057,4,2,1,1.30445157,train,2017,09,70,6,8
2017-04,C_ID_4e07413433,1,1,0,0.09363294,train,2017,04,65,6,3
2017-08,C_ID_b6302b31c6,2,2,1,1.59775007,train,2017,08,69,6,7
2017-02,C_ID_3b69154173,1,1,0,1.01093682,train,2017,02,63,6,1
2016-07,C_ID_9feec11e78,1,2,0,1.13223604,train,2016,07,56,5,6
2016-12,C_ID_f6658dbefe,3,2,0,0.31806188,train,2016,12,61,5,11
2017-11,C_ID_4a7dda0f9e,1,1,0,0.75727961,train,2017,11,72,6,10
2017-01,C_ID_6adae2a906,3,1,0,0.33433685,train,2017,01,62,6,0
2017-09,C_ID_0b70ca7347,4,2,1,1.4427259,train,2017,09,70,6,8
2016-06,C_ID_25b2509282,0,2,0,4.74760223,train,2016,06,55,5,5
2017-09,C_ID_82fb11db22,1,2,0,0.4644044,train,2017,09,70,6,8
2017-10,C_ID_e03db05bde,1,2,0,-0.52965805,train,2017,10,71,6,9
2015-10,C_ID_dcb7c76747,4,1,1,-0.08495125,train,2015,10,47,4,9
2016-04,C_ID_749cfc0c3a,1,2,0,1.5258618,train,2016,04,53,5,3
2017-07,C_ID_4a97126360,1,3,0,-0.09074446,train,2017,07,68,6,6
2017-09,C_ID_17dea8d446,2,3,1,-1.36171997,train,2017,09,70,6,8
2016-01,C_ID_fcef0dfd67,4,1,1,0.72709297,train,2016,01,50,5,0
2016-06,C_ID_82868156f0,4,2,1,1.14386252,train,2016,06,55,5,5
2017-09,C_ID_8fa2ad405d,2,1,1,-3.73783471,train,2017,09,70,6,8
2017-07,C_ID_ee82cdf108,4,2,1,-4.73077842,train,2017,07,68,6,6
2017-01,C_ID_22ca4a5cdc,4,1,1,0.49181412,train,2017,01,62,6,0
2017-08,C_ID_7130fd2b3d,3,3,0,1.61188739,train,2017,08,69,6,7
2016-07,C_ID_3140b5e572,1,2,0,0.78182956,train,2016,07,56,5,6
2016-11,C_ID_022b48f3ac,2,3,1,1.23360131,train,2016,11,60,5,10
2016-08,C_ID_0fb5eebcbb,1,2,0,0.605185,train,2016,08,57,5,7
2017-08,C_ID_38a4be198d,3,3,0,-0.55790064,train,2017,08,69,6,7
2015-11,C_ID_8ffb6daff8,4,1,1,-0.56506458,train,2015,11,48,4,10
2016-04,C_ID_5967df7a42,2,3,1,-0.46908602,train,2016,04,53,5,3
2017-11,C_ID_c8cd0080cb,1,1,0,0.04409171,train,2017,11,72,6,10
2017-02,C_ID_69e95a3ec9,0,2,0,-0.24743986,train,2017,02,63,6,1
2017-07,C_ID_994d1ce39d,2,2,1,-0.80486388,train,2017,07,68,6,6
2017-11,C_ID_1919f9080e,1,3,0,0.39338846,train,2017,11,72,6,10
2017-09,C_ID_c9fc613553,2,1,1,-1.08979616,train,2017,09,70,6,8
2016-12,C_ID_bff4607e58,3,2,0,1.03294347,train,2016,12,61,5,11
2017-09,C_ID_f478df16fd,2,2,1,-1.02926603,train,2017,09,70,6,8
2013-05,C_ID_69350a7ab6,2,3,1,-1.39974763,train,2013,05,18,2,4
2017-06,C_ID_6c3cd81c4c,3,1,0,-0.62427059,train,2017,06,67,6,5
2017-02,C_ID_f2e927e5da,1,2,0,3.65908099,train,2017,02,63,6,1
2017-01,C_ID_3681e149f7,4,2,1,-0.22731017,train,2017,01,62,6,0
2016-02,C_ID_4673dd0b7b,1,2,0,1.27563444,train,2016,02,51,5,1
2017-07,C_ID_092d98ce80,2,2,1,1.4936732,train,2017,07,68,6,6
2016-12,C_ID_a1bbd3be59,1,2,0,-0.02799448,train,2016,12,61,5,11
2017-06,C_ID_db7c9bec8b,1,1,0,-0.40886475,train,2017,06,67,6,5
2017-10,C_ID_81b1b66bad,1,1,0,-0.01784667,train,2017,10,71,6,9
2017-10,C_ID_1490b92f50,2,1,1,1.71838149,train,2017,10,71,6,9
2016-11,C_ID_e5e2476a92,1,2,0,-0.18088201,train,2016,11,60,5,10
2017-01,C_ID_d6f59286b8,4,1,1,1.00075927,train,2017,01,62,6,0
2017-06,C_ID_bb8dedf426,1,2,0,-0.3800116,train,2017,06,67,6,5
2016-08,C_ID_f599442c5a,1,2,0,0.40010068,train,2016,08,57,5,7
2016-08,C_ID_dc2bed74b4,4,2,1,-0.44471818,train,2016,08,57,5,7
2017-06,C_ID_92b43c45f8,2,2,1,-0.06007317,train,2017,06,67,6,5
2016-12,C_ID_ddaccbc994,0,3,0,-0.21031371,train,2016,12,61,5,11
2017-09,C_ID_8186f3fcc1,2,1,1,-33.21928095,train,2017,09,70,6,8
2016-05,C_ID_cc9651279c,2,3,1,-1.87175493,train,2016,05,54,5,4
2017-10,C_ID_a2152a599d,1,1,0,0.47674241,train,2017,10,71,6,9
2017-01,C_ID_8e6c22b8b8,2,3,1,-1.4150375,train,2017,01,62,6,0
